@id;building;name;@lat;@lon
100725775;residential;;51.0620563;17.0634065
100725809;residential;;51.0488060;17.0208583
100725820;residential;;51.0468334;17.0255631
100725865;residential;;51.0637390;17.0316910
100725952;residential;;51.0675405;17.0365980
100726247;residential;;51.0524655;17.0291045
100726304;residential;;51.0489064;17.0515706
100726407;residential;;51.0677775;17.0351120
100726572;residential;;51.0617850;17.0803800
100726591;residential;;51.0617545;17.0635500
100726616;residential;;51.0595285;17.0291205
100726773;residential;;51.0476335;17.0887710
100726936;residential;;51.0597610;17.0280185
100727231;residential;;51.0584765;17.0174395
100727368;residential;;51.0693745;17.0369050
100727396;residential;;51.0638940;17.0772730
100727422;residential;;51.0645685;17.0301370
100727473;residential;;51.0474610;17.0525395
100727502;residential;;51.0489842;17.0195476
100727581;residential;;51.0583570;17.0334040
100727617;residential;;51.0658915;17.0318200
100727729;residential;;51.0468611;17.0522135
100727755;residential;;51.0658905;17.0307370
100727770;residential;;51.0692455;17.0802905
100727922;residential;;51.0636405;17.0646010
100727938;residential;;51.0610665;17.0243380
100727976;residential;;51.0639215;17.0317610
100727981;residential;;51.0618395;17.0292480
100727988;residential;;51.0564965;17.0239180
100728124;residential;;51.0584225;17.0178275
100728191;residential;;51.0673010;17.0335995
100728197;residential;;51.0463963;17.0254238
100728219;residential;;51.0649902;16.9977159
100728357;residential;;51.0591460;17.0289100
100728366;residential;;51.0635300;17.0306035
100728381;residential;;51.0630930;17.0282765
100728508;residential;;51.0678900;17.0324615
100728599;residential;;51.0645695;17.0306195
100728655;residential;;51.0593885;17.0595115
100728713;residential;;51.0690945;17.0804380
100728764;residential;;51.0477639;17.0576060
100728863;residential;;51.0670015;17.0306220
100728895;residential;;51.0620005;17.0637250
100728992;residential;;51.0479855;17.0539940
100729018;residential;;51.0696710;17.0915004
100729038;residential;;51.0584635;17.0230015
100729059;residential;;51.0681990;17.0373500
100729065;residential;;51.0648655;17.0302195
100729084;residential;;51.0591840;17.0283665
100729114;residential;;51.0649620;17.0306830
100729129;residential;;51.0570825;17.0273295
100729168;residential;;51.0474512;17.0262746
100729296;residential;;51.0682424;17.0933287
100729304;residential;;51.0609580;17.0286225
100729364;residential;;51.0533005;17.0263240
100729372;residential;;51.0592250;17.0571520
100729529;residential;;51.0672455;17.0324800
100729542;residential;;51.0699665;16.9824090
100729598;residential;;51.0585620;17.0602578
100729655;residential;;51.0574970;17.0294665
100729706;residential;;51.0583680;17.0342595
100729797;residential;;51.0574925;17.0275805
100729852;residential;;51.0665865;17.0300775
100729860;residential;;51.0495015;17.0197105
100729886;residential;;51.0684950;17.0369150
100729905;residential;;51.0503880;17.0199960
100730025;residential;;51.0564955;17.0296090
100730048;residential;;51.0616650;17.0287020
100730061;residential;;51.0542755;17.0279895
100730123;residential;;51.0633922;17.0752833
100730124;residential;;51.0689615;17.0805660
100730164;residential;;51.0659935;17.0289415
100730243;residential;;51.0456873;17.0252003
100730248;residential;;51.0593120;17.0284530
100730257;residential;;51.0588815;17.0288180
100730274;residential;;51.0648175;17.0318700
100730282;residential;;51.0674575;17.0334045
100730433;residential;;51.0585777;17.0864443
100730472;residential;;51.0562305;17.0240535
100730475;residential;;51.0686300;17.0808900
100730506;residential;;51.0530375;17.0302445
100730649;residential;;51.0482990;17.0518114
100730826;residential;;51.0610800;17.0290770
100731093;residential;;51.0636310;17.0297550
100731178;residential;;51.0504820;17.0200275
100731185;residential;;51.0626171;17.0287213
100731257;residential;;51.0592205;17.0272120
100731277;residential;;51.0679000;17.0408805
100731328;residential;;51.0682910;17.0409395
100731412;residential;;51.0679040;17.0376225
100731448;residential;;51.0654770;16.9788450
100731451;residential;;51.0491650;17.0600310
100731500;residential;;51.0516865;17.0235515
100731508;residential;;51.0640960;17.0317810
100731612;residential;;51.0517245;17.0222280
100731685;residential;;51.0654500;16.9785450
100731707;residential;;51.0540350;17.0203400
100731723;residential;;51.0685780;17.0374425
100731824;residential;;51.0462312;17.0266973
100731829;residential;;51.0597290;17.0583870
100731840;residential;;51.0696016;17.0912870
100731941;residential;;51.0577905;17.0320930
100731942;residential;;51.0573925;17.0217775
100732095;residential;;51.0651920;17.0318505
100732162;residential;;51.0638005;17.0287350
100732327;residential;;51.0631560;17.0742865
100732524;residential;;51.0644375;17.0300730
100732622;residential;;51.0618785;17.0627120
100732691;residential;;51.0592785;17.0289660
100732720;residential;;51.0623903;17.0209052
100732732;residential;;51.0582735;17.0183805
100732760;residential;;51.0632418;17.0755739
100732764;residential;;51.0515235;17.0250505
100732777;residential;;51.0626774;17.0287503
100732810;residential;;51.0468968;17.0521068
100732860;residential;;51.0517840;17.0300610
100732920;residential;;51.0634375;17.0739050
100732962;residential;;51.0488489;17.0206310
100732965;residential;;51.0523520;17.0302410
100733045;residential;;51.0503365;17.0317478
100733142;residential;;51.0463638;17.0169078
100733163;residential;;51.0687065;17.0377925
100733204;residential;;51.0581330;17.0228455
100733309;residential;;51.0502615;17.0199435
100733429;residential;;51.0461775;17.0253542
